"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"231",11,"Tyler Lockett",TEN,"WR82","10","4 out of 5 stars","+63"
"232",11,"Jaylin Noel",HOU,"WR83","6","4 out of 5 stars","+35"
"233",11,"Pat Bryant",DEN,"WR84","12","3 out of 5 stars","+49"
"234",11,"Miles Sanders",DAL,"RB69","10","2 out of 5 stars","+16"
"235",11,"Calvin Austin III",PIT,"WR85","5","4 out of 5 stars","-3"
"236",12,"Daniel Jones",IND,"QB29","11","3 out of 5 stars","+83"
"237",12,"Jason Sanders",MIA,"K12","12","2 out of 5 stars","-61"
"238",12,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+14"
"239",12,"Keaton Mitchell",BAL,"RB70","7","4 out of 5 stars","+17"
"240",12,"Ja'Tavion Sanders",CAR,"TE28","14","4 out of 5 stars","-1"
"241",12,"Juwan Johnson",NO,"TE29","11","3 out of 5 stars","+32"
"242",12,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-43"
"243",12,"Elijah Arroyo",SEA,"TE30","8","4 out of 5 stars","-2"
"244",12,"Dallas Cowboys",DAL,"DST16","10","0 out of 5 stars","-47"
"245",12,"Dyami Brown",JAC,"WR86","8","4 out of 5 stars","+36"
"246",12,"Jalen Royals",KC,"WR87","10","3 out of 5 stars","+14"
"247",12,"Matt Gay",WAS,"K14","12","3 out of 5 stars","-33"
"248",12,"Roman Wilson",PIT,"WR88","5","4 out of 5 stars","+11"
"249",12,"Jaleel McLaughlin",DEN,"RB71","12","2 out of 5 stars","+23"
"250",12,"Cole Kmet",CHI,"TE31","5","4 out of 5 stars","+5"
"251",12,"Diontae Johnson",CLE,"WR89","9","2 out of 5 stars","+52"
"252",12,"Tahj Brooks",CIN,"RB72","10","4 out of 5 stars","+34"
"253",12,"Devaughn Vele",NO,"WR90","11","4 out of 5 stars","+131"
"254",12,"Anthony Richardson Sr.",IND,"QB31","11","3 out of 5 stars","-28"
"255",12,"Tampa Bay Buccaneers",TB,"DST17","9","3 out of 5 stars","-45"
"256",12,"Raheem Mostert",LV,"RB73","8","2 out of 5 stars","-33"
"257",12,"Chris Rodriguez Jr.",WAS,"RB74","12","2 out of 5 stars","+71"
"258",12,"Tory Horton",SEA,"WR91","8","3 out of 5 stars","-18"
"259",12,"Devin Neal",NO,"RB75","11","4 out of 5 stars","+45"
"260",12,"Brashard Smith",KC,"RB76","10","2 out of 5 stars","+18"
"261",12,"Jarquez Hunter",LAR,"RB77","8","3 out of 5 stars","+28"
